"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FC","2022-10-05","82.2","0.97","6.1","Valdez, Framber",596117,664285,"strikeout","swinging_strike_blocked",,,,,13,"Garrett Stubbs strikes out swinging.","R","L","L","HOU","PHI","S",2,,2,2,2022,"-0.53","-0.71","-0.24","0.14",,,,0,3,"Top",,,,,455117,,,-1.7300827135538168,-119.66014314916963,-5.601640866076006,-4.757268553079094,22.31387230524581,-38.15751361744137,"2.82","1.26",,,,"82.1",2728,"6.1",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.36",,,"0",1,0,0,,16,5,"Cutter",0,0,0,0,0,0,0,0,"Infield shift","Standard",308,"0.025","-0.195"
"FC","2022-10-05","81.3","1.23","6.17","Valdez, Framber",596117,664285,,"called_strike",,,,,6,"Garrett Stubbs strikes out swinging.","R","L","L","HOU","PHI","S",,,2,1,2022,"-0.23","-0.4","0.51","1.98",,,,0,3,"Top",,,,,455117,,,-1.1681960201016262,-118.45826555658782,-2.0316040381430205,-1.9557440388543699,21.694550362237024,-35.80420291669176,"2.9","1.35",,,,"80.5",2424,"5.6",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.91",,,,,,,,16,4,"Cutter",0,0,0,0,0,0,0,0,"Standard","Standard",320,"0","-0.066"
"SI","2022-10-05","93.4","0.93","6.33","Valdez, Framber",596117,664285,,"ball",,,,,11,"Garrett Stubbs strikes out swinging.","R","L","L","HOU","PHI","B",,,1,1,2022,"1.18","0.83","-1.16","2.34",,,,0,3,"Top",,,,,455117,,,-7.929975409641114,-135.7980203862504,-6.310998224704914,16.329775886290196,28.794443829701702,-20.717072447963165,"2.85","1.43",,,,"92.8",2141,"5.9",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.57",,,,,,,,16,3,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",151,"0","0.049"
"SI","2022-10-05","92.4","0.95","6.32","Valdez, Framber",596117,664285,,"called_strike",,,,,2,"Garrett Stubbs strikes out swinging.","R","L","L","HOU","PHI","S",,,1,0,2022,"1.06","0.7","-0.27","2.59",,,,0,3,"Top",,,,,455117,,,-5.3284420088155615,-134.44487889710734,-5.167410219081009,14.01120281538468,28.221484944675606,-22.82403775422401,"2.82","1.38",,,,"91.4",2141,"5.6",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.89",,,,,,,,16,2,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",148,"0","-0.043"
"SI","2022-10-05","91.6","1.08","6.15","Valdez, Framber",596117,664285,,"ball",,,,,7,"Garrett Stubbs strikes out swinging.","R","L","L","HOU","PHI","B",,,0,0,2022,"1.03","0.51","-0.61","1.3",,,,0,3,"Top",,,,,455117,,,-6.432832967360236,-133.21173157246275,-7.454978650635852,13.618719258959144,27.573860605189864,-24.70202424053216,"2.88","1.41",,,,"91.1",2117,"5.9",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.56",,,,,,,,16,1,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",143,"0","0.033"
"SI","2022-10-05","95.8","0.48","6.25","Valdez, Framber",665155,664285,,"ball",,,,,13,"Nick Maton strikes out swinging.","R","L","L","HOU","PHI","B",,,1,2,2022,"1.21","0.56","-1.87","0.87",,,656495,2,2,"Top",,,,,455117,,,-8.87469267553207,-138.8422887937146,-9.703115344942187,17.726924434466177,34.87170045237803,-22.711854934544203,"3.14","1.67",,,,"94.5",2165,"6",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.47",,,,,,,,12,4,"Sinker",0,0,0,0,0,0,0,0,"Infield shift","Standard",147,"0","0.029"
"FC","2022-10-05","81.7","0.91","6.07","Valdez, Framber",665155,664285,,"ball",,,,,13,"Nick Maton strikes out swinging.","R","L","L","HOU","PHI","B",,,0,2,2022,"-0.31","-0.56","-1.15","1.16",,,656495,2,2,"Top",,,,,455117,,,-4.012649775676726,-118.97180900304579,-3.3850407007609826,-2.176826437332835,23.620248851003375,-37.065357273834415,"3.08","1.49",,,,"81.2",2654,"6",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.51",,,,,,,,12,3,"Cutter",0,0,0,0,0,0,0,0,"Infield shift","Standard",318,"0","0.023"
"FC","2022-10-05","81.4","1.11","6.14","Valdez, Framber",665155,664285,,"called_strike",,,,,5,"Nick Maton strikes out swinging.","R","L","L","HOU","PHI","S",,,0,1,2022,"-0.22","-0.32","-0.1","2.59",,,656495,2,2,"Top",,,,,455117,,,-2.2858676744030477,-118.59733361873748,-0.7869537109846119,-1.6906084570674103,22.025438584036397,-35.30045462539963,"3.17","1.43",,,,"81.1",2565,"5.9",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.57",,,,,,,,12,2,"Cutter",0,0,0,0,0,0,0,0,"Standard","Standard",309,"0","-0.048"
"SI","2022-10-05","93.7","0.72","6.25","Valdez, Framber",665155,664285,,"called_strike",,,,,7,"Nick Maton strikes out swinging.","R","L","L","HOU","PHI","S",,,0,0,2022,"1.37","0.37","-0.66","1.56",,,656495,2,2,"Top",,,,,455117,,,-6.569652923940968,-136.02157402931988,-7.059676043214775,18.47067860093741,34.262958314463006,-26.03513194280182,"3.23","1.61",,,,"92.6",2061,"6.1",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.38",,,,,,,,12,1,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",142,"0","-0.035"
"SI","2022-10-05","94","1.06","6.21","Valdez, Framber",656495,664285,,"foul",,,,,5,"Dalton Guthrie walks.","R","R","L","HOU","PHI","S",,,3,1,2022,"1","0.92","-0.24","2.41",,,,2,2,"Top",,,,,455117,,,-5.580823878888692,-136.69393760149478,-6.126642579570584,13.80503008430481,31.270712330490664,-19.434860343909246,"3.12","1.38",4,"73.5",-31,"93.5",2139,"6.1",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.39",,,,,,,,11,5,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",147,"0","-0.036"
"SI","2022-10-05","94.8","1.01","6.28","Valdez, Framber",656495,664285,,"ball",,,,,13,"Dalton Guthrie walks.","R","R","L","HOU","PHI","B",,,2,1,2022,"1.41","0.54","-1.04","1.61",,,,2,2,"Top",,,,,455117,,,-8.460501425555451,-137.63581408890323,-7.64456652642479,19.86988554308483,32.079011498681304,-23.75149700929117,"3.14","1.46",,,,"94",2243,"6.1",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.44",,,,,,,,11,4,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",142,"0","0.039"
"SI","2022-10-05","94.8","1.05","6.27","Valdez, Framber",656495,664285,,"called_strike",,,,,2,"Dalton Guthrie walks.","R","R","L","HOU","PHI","S",,,2,0,2022,"1.5","0.6","-0.19","2.78",,,,2,2,"Top",,,,,455117,,,-6.522515985662341,-137.74894036664244,-4.687544753056418,20.541340212523014,33.00805470899368,-23.671836943911845,"3.11","1.43",,,,"93.7",2293,"5.9",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.62",,,,,,,,11,3,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",139,"0","-0.023"
"SI","2022-10-05","94.2","0.87","6.35","Valdez, Framber",663837,664285,,"foul",,,,,6,"Matt Vierling strikes out swinging.","R","R","L","HOU","PHI","S",,,1,1,2022,"1.32","0.56","0.39","2.4",,,,1,2,"Top",,,,,455117,,,-4.152653466344838,-137.0668839306973,-5.721150159399986,17.54564732224626,32.80887344434963,-24.040815280963173,"3.39","1.64",230,"84.1",23,"93.1",2069,"5.8",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.67",,,,,,,,10,3,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",140,"0","-0.036"
"SI","2022-10-05","93.5","1.11","6.31","Valdez, Framber",663837,664285,,"ball",,,,,12,"Matt Vierling strikes out swinging.","R","R","L","HOU","PHI","B",,,0,1,2022,"1.48","0.64","1.44","4.12",,,,1,2,"Top",,,,,455117,,,-2.3786812130845103,-136.04729283301296,-1.238086323552769,18.866358654858107,33.08025863299729,-24.26634072364266,"3.46","1.79",,,,"92.2",2155,"5.8",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.72",,,,,,,,10,2,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",141,"0","0.016"
"SI","2022-10-05","93.4","0.78","6.28","Valdez, Framber",516416,664285,,"foul",,,,,5,"Jean Segura strikes out swinging.","R","R","L","HOU","PHI","S",,,2,2,2022,"1.34","0.73","0.16","2.17",,,,0,2,"Top",,,,,455117,,,-4.525376729112962,-135.81432886082047,-6.3624346949266215,17.576406615364117,31.67747543158338,-21.929868063542596,"2.95","1.41",3,"75.8",-40,"92.6",2146,"6",662789,664285,455117,641820,649557,608324,643289,670541,676694,676801,"54.5",,,,,,,,9,6,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",139,"0","0"
